Month,Country,Wearing mask %
March,Republic of Korea,82
April,Republic of Korea,94
May,Republic of Korea,70
June,Republic of Korea,Not found
July,Republic of Korea,89
August,Republic of Korea,90
September,Republic of Korea,90
October,Republic of Korea,Not found
March,Germany,62
April,Germany,70
May,Germany,69
June,Germany,70
July,Germany,73
August,Germany,68
September,Germany,63
October,Germany,65
March,US,49
April,US,48
May,US,47
June,US,42
July,US,38
August,US,38
September,US,36
October,US,34
